,nome,porcentagem_desconto,preco,tipo,plataforma,sistema
351,free fire  285 diamantes + 10 de bonus,0,10.0,padrao,mobile,"ios,android"
352,euro truck simulator 2 ice cold paint jobs pack,0,4.49,dlc,pc,"steam,windows,linux"
353,assassins creed iv black flag  new gold edition,0,119.99,padrao,pc,windows
354,the walking dead a new frontier,0,28.99,padrao,pc,"steam,windows"
355,lego dc supervillains,94,9.0,padrao,pc,"steam,windows"
356,conan exiles isle of siptah edition,0,124.07,padrao,pc,"steam,windows"
357,signalis,10,53.99,padrao,pc,"steam,windows"
358,euro truck simulator 2 halloween paint jobs pack,0,4.49,dlc,pc,"steam,windows,linux"
359,sword art online alicization lycoris  deluxe edition,0,299.9,padrao,pc,"steam,windows"
360,star wars collection,0,169.99,padrao,pc,"steam,windows"
361,scarlet nexus  ultimate edition,75,99.87,padrao,pc,"steam,windows"
362,american truck simulator  oregon,0,31.99,dlc,pc,"steam,windows,linux,mac"
363,this war of mine  the little ones,0,9.99,dlc,pc,"steam,windows,linux,mac"
364,arma 3 laws of war,0,17.99,dlc,pc,"steam,windows"
365,arma 3 helicopters,0,17.99,dlc,pc,"steam,windows"
366,nintendo switch sports,0,199.0,padrao,console,nintendo
367,the walking dead michonne  a telltale miniseries,0,27.99,padrao,pc,"steam,windows,mac"
368,dying light  volkan combat armor bundle,75,1.62,dlc,pc,"steam,windows,linux"
369,17.000 avacoins + 120 gemas  avakin life,0,34.19,padrao,mobile,"ios,android"
370,ravenswatch,0,59.99,padrao,pc,"steam,windows"
371,titan souls collectors edition,0,34.99,padrao,pc,"steam,windows,mac"
372,dmc devil may cry,0,59.99,padrao,pc,"steam,windows"
373,frostpunk,0,88.99,padrao,pc,"steam,windows"
374,mortal kombat 11,90,22.99,padrao,pc,"steam,windows"
375,hotline miami,0,16.99,padrao,pc,"steam,windows,linux,mac"
376,mortal kombat 11 kombat pack 1,90,5.99,dlc,pc,"steam,windows"
377,crunchyroll mega fan  1 mes,0,19.99,padrao,"pc,mobile","windows,linux,mac,ios,android"
378,the legend of heroes trails in the sky the 3rd,0,55.99,padrao,pc,"steam,windows"
379,hotline miami 2 wrong number,0,24.99,padrao,pc,"steam,windows,linux,mac"
380,171,0,59.99,padrao,pc,"steam,windows"
381,xbox  cartao presente digital 60 reais,0,60.0,padrao,"pc,console","windows,xbox"
382,xbox  cartao presente digital 70 reais,0,70.0,padrao,"pc,console","windows,xbox"
383,lego star wars the force awakens,94,4.5,padrao,pc,"steam,windows"
384,tales of symphonia,50,18.49,padrao,pc,"steam,windows"
385,lego batman,94,4.5,padrao,pc,"steam,windows"
386,mortal kombat xl,90,12.99,pacote,pc,"steam,windows"
